Date,Watch time (hours)
2019-01-05,0.1836
2019-01-06,0.1411
2019-01-07,0.1293
2019-01-08,0.0703
2019-01-09,0.0519
2019-01-10,0.0823
2019-01-11,0.0591
2019-01-12,0.1694
2019-01-13,0.0574
2019-01-14,0.132
2019-01-15,0.0722
2019-01-16,0.0143
2019-01-17,0.0177
2019-01-18,0.0036
2019-01-19,0.0594
2019-01-20,0.0559
2019-01-21,0.0529
2019-01-22,0.0301
2019-01-23,0
2019-01-24,0.0358
2019-01-25,0.0246
2019-01-26,0.1554
2019-01-27,0.4133
2019-01-28,0.1516
2019-01-29,0.0573
2019-01-30,0.0326
2019-01-31,0.0426
2019-02-01,0.0492
2019-02-02,0.0719
2019-02-03,0.2132
2019-02-04,0.0534
2019-02-05,0.1114
2019-02-06,0.054
2019-02-07,0.1008
2019-02-08,0.1774
2019-02-09,0.6379
2019-02-10,0.2942
2019-02-11,0.3112
2019-02-12,0.3803
2019-02-13,0.3286
2019-02-14,0.2308
2019-02-15,0.2571
2019-02-16,0.4342
2019-02-17,0.2356
2019-02-18,0.1218
2019-02-19,0.0849
2019-02-20,0.1373
2019-02-21,0.0954
2019-02-22,0.088
2019-02-23,0.1363
2019-02-24,0.1756
2019-02-25,0.0755
2019-02-26,0.1266
2019-02-27,0.1128
2019-02-28,0.0632
2019-03-01,0.0442
2019-03-02,0.1064
2019-03-03,0.1425
2019-03-04,0.0624
2019-03-05,0.0919
2019-03-06,0.078
2019-03-07,0.1433
2019-03-08,0.1983
2019-03-09,0.6118
2019-03-10,0.6202
2019-03-11,0.944
2019-03-12,0.5406
2019-03-13,0.7429
2019-03-14,0.2008
2019-03-15,0.4573
2019-03-16,0.7308
2019-03-17,0.363
2019-03-18,0.168
2019-03-19,0.272
2019-03-20,0.1616
2019-03-21,0.2121
2019-03-22,0.1475
2019-03-23,0.2272
2019-03-24,0.3308
2019-03-25,0.1491
2019-03-26,0.619
2019-03-27,0.0319
2019-03-28,0.1025
2019-03-29,0.2605
2019-03-30,0.9704
2019-03-31,0.5378
2019-04-01,0.2913
2019-04-02,0.2444
2019-04-03,0.1102
2019-04-04,0.1906
2019-04-05,0.2864
2019-04-06,0.391
2019-04-07,0.2466
2019-04-08,0.1373
2019-04-09,0.2719
2019-04-10,0.287
2019-04-11,0.4495
2019-04-12,0.275
2019-04-13,0.1249
2019-04-14,0.3793
2019-04-15,0.1373
2019-04-16,0.3289
2019-04-17,0.1918
2019-04-18,0.1572
2019-04-19,0.399
2019-04-20,0.5838
2019-04-21,0.5398
2019-04-22,0.3554
2019-04-23,0.2554
2019-04-24,0.2763
2019-04-25,0.2553
2019-04-26,0.2756
2019-04-27,0.3493
2019-04-28,0.1698
2019-04-29,0.1702
2019-04-30,0.1752
2019-05-01,0.0794
2019-05-02,0.2267
2019-05-03,0.2573
2019-05-04,0.1835
2019-05-05,0.2133
2019-05-06,0.1022
2019-05-07,0.1456
2019-05-08,0.0946
2019-05-09,0.0389
2019-05-10,0.1948
2019-05-11,0.0738
2019-05-12,0.1656
2019-05-13,0.0527
2019-05-14,0.0876
2019-05-15,0.0803
2019-05-16,0.1649
2019-05-17,0.1977
2019-05-18,0.179
2019-05-19,0.116
2019-05-20,0.2027
2019-05-21,0.0602
2019-05-22,0.079
2019-05-23,0.1539
